ma_BC,ten_Buu_cuc,ma_BDX,ten_BDX,ten_Cum
474057,474057 - C­­ửa khẩu Nậm Cắn,4692,Bưu điện xã Mường Xén,Kỳ Sơn
474086,474086 - Tây Sơn,4692,Bưu điện xã Mường Xén,Kỳ Sơn
474099,474099 - Mường típ,4692,Bưu điện xã Mường Xén,Kỳ Sơn
474116,474116 - Mường Ải,4692,Bưu điện xã Mường Xén,Kỳ Sơn
474050,474050 - Nậm Cắn,4692,Bưu điện xã Mường Xén,Kỳ Sơn
473914,473914 - Mường Lống,4699,Bưu điện xã Mỹ Lý,Kỳ Sơn
473982,473982 - Mỹ Lý,4699,Bưu điện xã Mỹ Lý,Kỳ Sơn
474013,474013 - Bắc Lý,4699,Bưu điện xã Mỹ Lý,Kỳ Sơn
4749_V,4749_VP - Văn phòng Bưu điện Nam Đàn,4749,BCVH Nam Đàn,Nam Đàn
474912,474912 - BC KHL Nam Đàn,4749,BCVH Nam Đàn,Nam Đàn
474913,474913 - VP BĐH Nam Đàn,4749,BCVH Nam Đàn,Nam Đàn
475050,475050 - BCP Nam Đàn,4749,BCVH Nam Đàn,Nam Đàn
474940,474940 - Chợ Vạc,4706,Bưu điện xã Đại Huệ,Nam Đàn
474941,474941 - Nam Lĩnh,4706,Bưu điện xã Đại Huệ,Nam Đàn
474990,474990 - Nam Anh,4706,Bưu điện xã Đại Huệ,Nam Đàn
474991,474991 - VHX Nam Anh,4706,Bưu điện xã Đại Huệ,Nam Đàn
475010,475010 - Nam Xuân,4706,Bưu điện xã Đại Huệ,Nam Đàn
474970,474970 - Nam Giang,4708,Bưu điện xã Kim Liên,Nam Đàn
475360,475360 - Hùng Tiến,4708,Bưu điện xã Kim Liên,Nam Đàn
475390,475390 - Hồng Long,4708,Bưu điện xã Kim Liên,Nam Đàn
475410,475410 - Xuân Lâm,4708,Bưu điện xã Kim Liên,Nam Đàn
475450,475450 - Nam Cát,4708,Bưu điện xã Kim Liên,Nam Đàn
475470,475470 - Kim Liên,4708,Bưu điện xã Kim Liên,Nam Đàn
475471,475471 - Kim Liên,4708,Bưu điện xã Kim Liên,Nam Đàn
475060,475060 - Nam Thanh,4705,Bưu điện xã Nam Đàn,Nam Đàn
475090,475090 - Nam Thái,4705,Bưu điện xã Nam Đàn,Nam Đàn
475110,475110 - Nam Nghĩa,4705,Bưu điện xã Nam Đàn,Nam Đàn
475111,475111 - Nam Nghĩa,4705,Bưu điện xã Nam Đàn,Nam Đàn
475130,475130 - Nam Hưng,4705,Bưu điện xã Nam Đàn,Nam Đàn
475200,475200 - Khánh Sơn,4707,Bưu điện xã Thiên Nhẫn,Nam Đàn
475250,475250 - Nam Phúc,4707,Bưu điện xã Thiên Nhẫn,Nam Đàn
475270,475270 - Chín Nam,4707,Bưu điện xã Thiên Nhẫn,Nam Đàn
475271,475271 - Nam Trung,4707,Bưu điện xã Thiên Nhẫn,Nam Đàn
475300,475300 - Nam Kim,4707,Bưu điện xã Thiên Nhẫn,Nam Đàn
475340,475340 - Nam Cường,4707,Bưu điện xã Thiên Nhẫn,Nam Đàn
474900,474900 - Nam Đàn,4704,Bưu điện xã Vạn An,Nam Đàn
474920,474920 - Xuân Hòa,4704,Bưu điện xã Vạn An,Nam Đàn
475150,475150 - Nam Tân,4704,Bưu điện xã Vạn An,Nam Đàn
475170,475170 - Nam Thượng,4704,Bưu điện xã Vạn An,Nam Đàn
475180,475180 - Nam Lộc,4704,Bưu điện xã Vạn An,Nam Đàn
4626_V,4626_VP - Văn phòng Bưu điện Nghi Lộc,4626,BCVH Nghi Lộc,Nghi Lộc
463311,463311 - Kho BCVH Nghi Lộc,4626,BCVH Nghi Lộc,Nghi Lộc
462830,462830 - BCP Nghi Lộc,4626,BCVH Nghi Lộc,Nghi Lộc
463310,463310 - BC KHL Nghi Lộc,4626,BCVH Nghi Lộc,Nghi Lộc
462650,462650 - Nghi Trường,4734,Bưu điện xã Đông Lộc,Nghi Lộc
462681,462681 - Nghi Thạch,4734,Bưu điện xã Đông Lộc,Nghi Lộc
462710,462710 - Nghi Thịnh,4734,Bưu điện xã Đông Lộc,Nghi Lộc
462740,462740 - Nghi Khánh,4734,Bưu điện xã Đông Lộc,Nghi Lộc
462790,462790 - Nghi Hợp,4734,Bưu điện xã Đông Lộc,Nghi Lộc
462860,462860 - Nghi Thiết,4614,Bưu điện xã Hải Lộc,Nghi Lộc
462880,462880 - Nghi Tiến,4614,Bưu điện xã Hải Lộc,Nghi Lộc
462910,462910 - Nghi Yên,4614,Bưu điện xã Hải Lộc,Nghi Lộc
462600,462600 - Nghi Lộc,4731,Bưu điện xã Nghi Lộc,Nghi Lộc
462610,462610 - Nghi Trung,4731,Bưu điện xã Nghi Lộc,Nghi Lộc
462911,462911 - Nam Cấm,4731,Bưu điện xã Nghi Lộc,Nghi Lộc
463090,463090 - Nghi Hoa,4731,Bưu điện xã Nghi Lộc,Nghi Lộc
463240,463240 - Nghi Diên,4731,Bưu điện xã Nghi Lộc,Nghi Lộc
463270,463270 - Nghi Vạn,4731,Bưu điện xã Nghi Lộc,Nghi Lộc
463120,463120 - Nghi Mỹ,4732,Bưu điện xã Phúc Lộc,Nghi Lộc
463140,463140 - Nghi Lâm,4732,Bưu điện xã Phúc Lộc,Nghi Lộc
463217,463217 - Nghi Công Bắc,4732,Bưu điện xã Phúc Lộc,Nghi Lộc
463220,463220 - Nghi Công Nam,4732,Bưu điện xã Phúc Lộc,Nghi Lộc
462970,462970 - Nghi Hưng,4613,Bưu điện xã Thần Lĩnh,Nghi Lộc
463000,463000 - Nghi Đồng,4613,Bưu điện xã Thần Lĩnh,Nghi Lộc
463020,463020 - Nghi Phương,4613,Bưu điện xã Thần Lĩnh,Nghi Lộc
462770,462770 - Nghi Xá,4612,Bưu điện xã Trung Lộc,Nghi Lộc
462810,462810 - Nghi Long,4612,Bưu điện xã Trung Lộc,Nghi Lộc
462840,462840 - Nghi Quang,4612,Bưu điện xã Trung Lộc,Nghi Lộc
462940,462940 - Nghi Thuận,4612,Bưu điện xã Trung Lộc,Nghi Lộc
463050,463050 - Nghi Văn,4615,Bưu điện xã Văn Kiều,Nghi Lộc
463170,463170 - Nghi Kiều,4615,Bưu điện xã Văn Kiều,Nghi Lộc
471111,471111 - Kho BCVH Quế Phong,4711,BCVH Quế Phong,Quế Phong
471250,471250 - BCP Quế Phong,4711,BCVH Quế Phong,Quế Phong
471210,471210 - Châu Thôn,4712,Bưu điện xã Mường Quàng,Quế Phong
471246,471246 - Tri Lễ,4712,Bưu điện xã Mường Quàng,Quế Phong
471266,471266 - VHX Nậm Nhóong,4712,Bưu điện xã Mường Quàng,Quế Phong
471293,471293 - Quang Phong,4712,Bưu điện xã Mường Quàng,Quế Phong
471342,471342 - Cắm muộn,4712,Bưu điện xã Mường Quàng,Quế Phong
471100,471100 - Quế Phong,4709,Bưu điện xã Quế Phong,Quế Phong
471186,471186 - VHX Nậm Giải,4709,Bưu điện xã Quế Phong,Quế Phong
471190,471190 - Châu Kim,4709,Bưu điện xã Quế Phong,Quế Phong
471300,471300 - Mường Nọc,4709,Bưu điện xã Quế Phong,Quế Phong
471360,471360 - Quế Sơn,4709,Bưu điện xã Quế Phong,Quế Phong
473449,473449 - Hữu Khuông,4709,Bưu điện xã Quế Phong,Quế Phong
473492,473492 - Nhôn Mai,4709,Bưu điện xã Quế Phong,Quế Phong
473509,473509 - Mai Sơn,4709,Bưu điện xã Quế Phong,Quế Phong
471148,471148 - Đồng Văn,4710,Bưu điện xã Tiền Phong,Quế Phong
471176,471176 - Hạnh Dịch,4710,Bưu điện xã Tiền Phong,Quế Phong
471320,471320 - Phú Phương,4710,Bưu điện xã Tiền Phong,Quế Phong
471332,471332 - Thông Thụ,4710,Bưu điện xã Tiền Phong,Quế Phong
4697_V,4697_VP - Văn phòng Bưu điện Quỳ Châu,4697,BCVH Quỳ Châu,Quỳ Châu
469706,469706 - BC KHL QUỲ CHÂU,4697,BCVH Quỳ Châu,Quỳ Châu
469705,VP BĐH,4697,BCVH Quỳ Châu,Quỳ Châu
469780,469780 - Châu Thuận,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469800,469800 - Châu Bính,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469820,469820 - Tạ Chum,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469821,469821 - Châu Tiến,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469840,469840 - Châu Thắng,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469860,469860 - Châu Phong,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469890,469890 - Châu Hoàn,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469910,469910 - Diên Lãm,4641,Bưu điện xã Châu Tiến,Quỳ Châu
469700,469700 - Quỳ Châu,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469710,469710 - Đò Ham,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469730,469730 - Châu Nga,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469711,469711 - Châu Hôị,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469750,469750 - Châu Hạnh,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469930,469930 - Châu Bình,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469931,469931 - Châu Bình,4747,Bưu điện xã Quỳ Châu,Quỳ Châu
469022,469022 - VP BĐH Quỳ Hợp,4690,BCVH Quỳ Hợp,Quỳ Hợp
469025,469025 - BC KHL Quỳ Hợp,4690,BCVH Quỳ Hợp,Quỳ Hợp
469050,469050 - BCP Quỳ Hợp,4690,BCVH Quỳ Hợp,Quỳ Hợp
469239,469239 - Châu Tiến,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469250,469250 - Châu Hồng,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469268,469268 - Châu Thành,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469280,469280 - Châu Cường,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469300,469300 - Châu Thái,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469327,469327 - Nam Sơn,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469330,469330 - Châu Lý,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469367,469367 - Bắc Sơn,4657,Bưu điện xã Mường Chọng,Quỳ Hợp
469000,469000 - Quỳ Hợp,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469040,469040 - Thọ Hợp,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469120,469120 - Châu Lộc,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469171,469171 - Châu Quang,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469226,469226 - Liên Hợp,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469370,469370 - Châu Đình,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469400,469400 - Văn Lợi A,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469411,469411 - Văn Lợi B,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469430,469430 - Minh Hợp,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469521,469521 - Hạ Sơn,4616,Bưu điện xã Quỳ Hợp,Quỳ Hợp
469060,469060 - Tam Hợp,4617,Bưu điện xã Tam Hợp,Quỳ Hợp
469090,469090 - Đồng Hợp,4617,Bưu điện xã Tam Hợp,Quỳ Hợp
469140,469140 - Yên Hợp,4617,Bưu điện xã Tam Hợp,Quỳ Hợp
469170,469170 - Đồng Nại,4617,Bưu điện xã Tam Hợp,Quỳ Hợp
